country_or_area,year,value,category
Czech Republic,2014,125033.1058,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent
Denmark,2014,51206.67239,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent
Estonia,2014,21059.24014,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent
European Union,2014,4282156.782,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent
Finland,2014,59105.07719,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent
France,2014,465369.5273,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent
Germany,2014,901763.9388,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent
Greece,2014,101298.1841,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent
Hungary,2014,57225.15528,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent
Iceland,2014,4596.847329,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent
Ireland,2014,58253.6714,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent
Italy,2014,418587.2149,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent
Japan,2014,1363862.305,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent
Latvia,2014,11393.29361,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent
Lithuania,2014,19777.74981,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent
Malta,2014,2982.644788,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent
Netherlands,2014,187056.8844,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent
New Zealand,2014,81104.42908,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent
Norway,2014,53190.60718,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent
Poland,2014,380037.5659,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent
Portugal,2014,65747.82223,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent
Romania,2014,111612.8106,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent
Russian Federation,2014,2648873.347,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent
Slovakia,2014,40657.6017,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent
Slovenia,2014,16582.3119,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent
Sweden,2014,54382.73729,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent
Switzerland,2014,48737.86666,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent
Turkey,2014,467550.3769,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent
Ukraine,2014,354347.5367,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent
United States of America,2014,6870446.092,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent
Australia,2014,522397.0907,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Austria,2014,76332.61859,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Belarus,2014,91895.64656,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Belgium,2014,113866.619,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Bulgaria,2014,57807.59297,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Canada,2014,732418.8832,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Croatia,2014,22898.87816,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Cyprus,2014,8453.767413,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Czech Republic,2014,124245.6431,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Denmark,2014,50785.29273,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Estonia,2014,21059.24014,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
European Union,2014,4278052.251,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Finland,2014,59028.98707,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
France,2014,464417.7952,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Germany,2014,901763.9388,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Greece,2014,101298.1841,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Hungary,2014,57225.15528,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Iceland,2014,4596.847329,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Ireland,2014,58189.15489,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Italy,2014,418587.2149,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Japan,2014,1363862.305,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Latvia,2014,11373.09064,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Liechtenstein,2014,204.4162492,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Lithuania,2014,19777.74981,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Luxembourg,2014,10775.63085,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Malta,2014,2982.644788,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Netherlands,2014,186845.4291,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
New Zealand,2014,81104.42908,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Norway,2014,53190.60718,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Poland,2014,380037.5659,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Portugal,2014,65620.01227,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Romania,2014,111612.8106,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Russian Federation,2014,2648873.347,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Slovakia,2014,40657.6017,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Slovenia,2014,16582.3119,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Spain,2014,321744.067,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Sweden,2014,54382.73729,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Switzerland,2014,48617.08074,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Turkey,2014,467550.3769,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Ukraine,2014,354347.5367,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
United Kingdom,2014,527500.7513,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
United States of America,2014,6870446.092,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Australia,2014,10787.35014,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
Austria,2014,1642.800765,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
Belgium,2014,2811.79733,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
Bulgaria,2014,1423.812859,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
Canada,2014,9024.460428,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
Croatia,2014,582.7729385,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
Cyprus,2014,320.5407986,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
Czech Republic,2014,2830.382249,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
Denmark,2014,735.4356459,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
Estonia,2014,216.5220411,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
European Union,2014,112215.1538,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
Finland,2014,1743.278988,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
France,2014,19398.68252,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
Germany,2014,10750.36778,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
Greece,2014,5758.128639,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
Hungary,2014,1428.159897,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
Iceland,2014,162.9243094,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
Ireland,2014,1155.417527,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
Italy,2014,11977.7137,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
Japan,2014,35784.94345,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
Latvia,2014,212.0638712,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
Liechtenstein,2014,12.14665961,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
Lithuania,2014,449.479788,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
Luxembourg,2014,66.07668799,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
Malta,2014,233.7842779,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
Netherlands,2014,2241.157617,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
New Zealand,2014,1517.227974,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
Norway,2014,1187.551061,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
Poland,2014,8586.930998,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
Portugal,2014,2439.305082,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
Romania,2014,1373.276196,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
Russian Federation,2014,24149.07182,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
Slovakia,2014,546.0155238,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
Slovenia,2014,323.8241309,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
Spain,2014,17053.31966,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
Sweden,2014,807.1138985,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
Switzerland,2014,1500.979852,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
Turkey,2014,4916.55267,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
Ukraine,2014,834.7574726,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
United Kingdom,2014,16422.55671,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
United States of America,2014,157237.3449,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
Australia,2014,98076.1094,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Austria,2014,6623.265756,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Belarus,2014,18599.17902,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Belgium,2014,8047.552316,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Bulgaria,2014,7420.509699,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Canada,2014,108436.7169,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Croatia,2014,3080.40853,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Cyprus,2014,923.9572982,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Czech Republic,2014,13491.73508,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Denmark,2014,7362.965801,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Estonia,2014,1102.373316,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
European Union,2014,452695.9431,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Finland,2014,5016.974759,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
France,2014,59761.95285,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Germany,2014,55527.86344,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Greece,2014,11086.13592,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Hungary,2014,7613.968985,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Iceland,2014,592.4900978,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Ireland,2014,13433.35375,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Italy,2014,43252.02811,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Japan,2014,35481.86546,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Latvia,2014,2082.212145,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Liechtenstein,2014,20.6049163,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Lithuania,2014,3464.712009,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Luxembourg,2014,578.8489455,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Malta,2014,196.5126727,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Netherlands,2014,18771.50917,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
New Zealand,2014,34813.01128,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Norway,2014,5369.151356,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Poland,2014,41330.22392,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Portugal,2014,11374.15618,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Romania,2014,29101.49884,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Russian Federation,2014,859101.0676,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Slovakia,2014,4363.291123,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Slovenia,2014,1978.92047,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Spain,2014,34450.65116,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Sweden,2014,5158.274605,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Switzerland,2014,5095.069284,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Turkey,2014,57137.71391,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Ukraine,2014,70341.4978,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
United Kingdom,2014,53890.86476,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
United States of America,2014,730828.6595,methane_ch4_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Austria,2014,10.56252,nitrogen_trifluoride_nf3_emissions_in_kilotonne_co2_equivalent
Belgium,2014,0.68972,nitrogen_trifluoride_nf3_emissions_in_kilotonne_co2_equivalent
Canada,2014,0.151044896,nitrogen_trifluoride_nf3_emissions_in_kilotonne_co2_equivalent
Czech Republic,2014,2.35296,nitrogen_trifluoride_nf3_emissions_in_kilotonne_co2_equivalent
European Union,2014,74.33922408,nitrogen_trifluoride_nf3_emissions_in_kilotonne_co2_equivalent
France,2014,10.6296,nitrogen_trifluoride_nf3_emissions_in_kilotonne_co2_equivalent
Germany,2014,20.2788,nitrogen_trifluoride_nf3_emissions_in_kilotonne_co2_equivalent
Ireland,2014,0.961015873,nitrogen_trifluoride_nf3_emissions_in_kilotonne_co2_equivalent
Italy,2014,28.17466667,nitrogen_trifluoride_nf3_emissions_in_kilotonne_co2_equivalent
Japan,2014,830.7184586,nitrogen_trifluoride_nf3_emissions_in_kilotonne_co2_equivalent
Lithuania,2014,0.291368,nitrogen_trifluoride_nf3_emissions_in_kilotonne_co2_equivalent
Switzerland,2014,0.40358682,nitrogen_trifluoride_nf3_emissions_in_kilotonne_co2_equivalent
United Kingdom,2014,0.398573542,nitrogen_trifluoride_nf3_emissions_in_kilotonne_co2_equivalent
United States of America,2014,490.4360849,nitrogen_trifluoride_nf3_emissions_in_kilotonne_co2_equivalent
Australia,2014,20084.54283,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Austria,2014,3427.437373,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Belarus,2014,12678.39486,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Belgium,2014,6278.983738,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
